E0, Erec, Ee', pex, pey, pez, Ep, ppx, ppy, ppz 
1.22355,1.18073,1.11635,-0.245709,-0.156694,1.07764,1.00265,0.342441,0.0554117,0.0679848
1.3513,1.30977,1.24033,0.296999,-0.278449,1.17161,1.00771,-0.299023,0.157211,0.144928
2.38142,2.33857,2.00982,-0.174587,0.516735,1.9344,1.26702,0.222516,-0.669017,0.477386
1.32619,1.28064,1.11221,-0.278286,0.411619,0.995061,1.1067,0.10301,-0.360236,0.45172
1.24962,1.20804,1.1549,-0.30171,0.000585299,1.1148,0.991408,0.281749,0.084405,0.126608
1.68428,1.64299,1.52697,0.38956,0.118766,1.47166,1.05429,-0.422595,-0.0944139,0.208983
1.26052,1.21897,1.15065,0.20858,0.276151,1.09737,1.00659,-0.243673,-0.193205,0.190184
1.83944,1.4446,1.37951,0.420373,-0.140191,1.3064,1.00336,0.307975,-0.0854051,0.155702
1.86508,1.82367,1.65725,0.0183421,-0.534433,1.5686,1.1047,0.0598768,0.5271,0.24205
2.43867,2.39489,2.18934,-0.605473,0.0662823,2.10291,1.14382,0.576199,-0.247545,0.186249
1.93835,1.49328,1.43191,-0.276735,0.370515,1.35517,0.999643,-0.0963605,-0.331079,-0.00576462
2.31091,1.91515,1.81602,0.334455,0.408367,1.73761,1.0374,-0.199527,-0.0214341,0.394434
1.71536,1.36701,1.15001,0.092615,-0.416955,1.06775,1.15527,-0.0628665,0.152093,0.653606
1.55001,1.50788,1.43258,0.140469,-0.434586,1.35782,1.01357,-0.11531,0.26897,0.247657
1.81821,1.7739,1.51204,0.35484,0.230812,1.45157,1.20014,-0.35947,-0.305529,0.580875
1.44261,1.40118,1.34365,0.401731,-0.007768,1.28216,0.99581,-0.289435,0.0736563,0.148608
3.51143,1.42012,1.33405,-0.426646,0.0527969,1.26288,1.02434,-0.244507,-0.329179,-0.0277053
1.55328,1.51169,1.46423,0.313989,-0.246857,1.4087,0.985737,-0.170106,0.195365,0.155626
1.40068,1.35875,1.12756,0.258743,-0.441888,1.00458,1.16947,-0.283385,0.396689,0.499627
3.589,3.1155,2.93538,-0.705512,-0.312393,2.83216,1.11839,0.230454,-0.506752,0.246022
1.26461,1.20745,1.13977,-0.186324,0.322693,1.07714,1.00596,0.217097,-0.201271,0.209653
1.65501,1.61286,1.42436,0.402543,0.259479,1.34143,1.12677,-0.518051,-0.224332,0.265641
1.35817,1.31414,1.17208,-0.296136,-0.107022,1.12899,1.08033,0.481967,0.173491,0.156126
